,Zeit,Temperatur,Druck,Luftfeuchtigkeit
109,2020/02/29 - 09:08:35,21.3,990.0,31.8
110,2020/02/29 - 09:08:40,21.3,990.0,31.8
111,2020/02/29 - 09:08:45,21.3,990.0,31.6
112,2020/02/29 - 09:08:50,21.3,990.0,31.7
113,2020/02/29 - 09:08:55,21.4,990.0,31.6
114,2020/02/29 - 09:09:00,21.4,991.0,31.6
115,2020/02/29 - 09:09:05,21.3,990.0,31.6
116,2020/02/29 - 09:09:10,21.3,991.0,31.7
117,2020/02/29 - 09:09:15,21.3,990.0,31.7
118,2020/02/29 - 09:09:20,21.3,991.0,31.8
119,2020/02/29 - 09:09:25,21.4,990.0,31.7
120,2020/02/29 - 09:09:30,21.4,990.0,31.7
121,2020/02/29 - 09:09:35,21.3,990.0,31.6
122,2020/02/29 - 09:09:40,21.3,990.0,31.5
123,2020/02/29 - 09:09:45,21.3,990.0,31.5
124,2020/02/29 - 09:09:50,21.3,990.0,31.6
125,2020/02/29 - 09:09:55,21.3,990.0,31.7
126,2020/02/29 - 09:10:00,21.3,990.0,31.7
127,2020/02/29 - 09:10:05,21.3,990.0,31.6
128,2020/02/29 - 09:10:10,21.3,990.0,31.7
129,2020/02/29 - 09:10:15,21.3,990.0,31.8
130,2020/02/29 - 09:10:20,21.3,990.0,31.6
131,2020/02/29 - 09:10:25,21.3,990.0,31.7
132,2020/02/29 - 09:10:30,21.3,990.0,31.7
133,2020/02/29 - 09:10:35,21.3,990.0,31.7
134,2020/02/29 - 09:10:40,21.3,990.0,31.7
135,2020/02/29 - 09:10:45,21.3,990.0,31.6
136,2020/02/29 - 09:10:50,21.3,991.0,31.6
137,2020/02/29 - 09:10:55,21.3,990.0,31.6
138,2020/02/29 - 09:11:00,21.3,991.0,31.6
139,2020/02/29 - 09:11:05,21.2,990.0,31.6
140,2020/02/29 - 09:11:10,21.3,990.0,31.8
141,2020/02/29 - 09:11:15,21.3,991.0,31.7
142,2020/02/29 - 09:11:20,21.3,990.0,31.7
143,2020/02/29 - 09:11:25,21.3,990.0,31.8
144,2020/02/29 - 09:11:30,21.3,990.0,31.6
145,2020/02/29 - 09:11:35,21.3,990.0,31.6
146,2020/02/29 - 09:11:40,21.2,990.0,31.7
147,2020/02/29 - 09:11:45,21.2,990.0,31.6
148,2020/02/29 - 09:11:50,21.1,990.0,31.7
149,2020/02/29 - 09:11:55,21.1,990.0,31.8
150,2020/02/29 - 09:12:00,21.1,990.0,31.9
151,2020/02/29 - 09:12:05,21.1,990.0,32.0
152,2020/02/29 - 09:12:10,21.1,990.0,31.9
153,2020/02/29 - 09:12:15,21.2,990.0,31.9
154,2020/02/29 - 09:12:20,21.1,990.0,31.9
155,2020/02/29 - 09:12:25,21.2,990.0,32.1
156,2020/02/29 - 09:12:30,21.2,990.0,32.3
157,2020/02/29 - 09:12:35,21.2,990.0,32.2
158,2020/02/29 - 09:12:40,21.2,990.0,32.1
159,2020/02/29 - 09:12:45,21.3,990.0,32.0
160,2020/02/29 - 09:12:50,21.3,990.0,31.9
161,2020/02/29 - 09:12:55,21.3,990.0,32.0
162,2020/02/29 - 09:13:00,21.3,990.0,31.7
163,2020/02/29 - 09:13:05,21.3,990.0,31.8
164,2020/02/29 - 09:13:10,21.3,990.0,31.8
165,2020/02/29 - 09:13:15,21.2,990.0,31.8
166,2020/02/29 - 09:13:20,21.3,990.0,31.9
167,2020/02/29 - 09:13:25,21.3,990.0,31.9
168,2020/02/29 - 09:13:30,21.3,990.0,31.8
169,2020/02/29 - 09:13:35,21.3,990.0,31.8
170,2020/02/29 - 09:13:40,21.3,990.0,31.8
171,2020/02/29 - 09:13:45,21.3,990.0,31.6
172,2020/02/29 - 09:13:50,21.3,990.0,31.7
173,2020/02/29 - 09:13:55,21.3,990.0,31.7
174,2020/02/29 - 09:14:00,21.3,990.0,31.8
175,2020/02/29 - 09:14:05,21.3,990.0,31.8
176,2020/02/29 - 09:14:10,21.3,990.0,31.7
177,2020/02/29 - 09:14:15,21.2,990.0,31.7
178,2020/02/29 - 09:14:20,21.2,990.0,31.7
179,2020/02/29 - 09:14:25,21.2,990.0,31.7
180,2020/02/29 - 09:14:30,21.2,990.0,31.8
181,2020/02/29 - 09:14:35,21.2,990.0,31.8
182,2020/02/29 - 09:14:40,21.2,990.0,31.8
183,2020/02/29 - 09:14:45,21.2,990.0,31.8
184,2020/02/29 - 09:14:50,21.2,990.0,31.8
185,2020/02/29 - 09:14:55,21.2,990.0,32.0
186,2020/02/29 - 09:15:00,21.3,990.0,32.0
187,2020/02/29 - 09:15:05,21.2,990.0,31.9
188,2020/02/29 - 09:15:10,21.3,990.0,31.9
189,2020/02/29 - 09:15:15,21.3,990.0,31.9
190,2020/02/29 - 09:15:20,21.3,990.0,31.8
191,2020/02/29 - 09:15:25,21.3,990.0,31.8
192,2020/02/29 - 09:15:30,21.3,990.0,31.8
193,2020/02/29 - 09:15:35,21.3,990.0,31.7
194,2020/02/29 - 09:15:40,21.3,990.0,31.8
195,2020/02/29 - 09:15:45,21.3,990.0,31.8
196,2020/02/29 - 09:15:50,21.4,990.0,31.7
197,2020/02/29 - 09:15:55,21.2,990.0,31.6
198,2020/02/29 - 09:16:00,21.2,990.0,31.8
